Station,State,Latitude,Longitude,Altitude,P_2021_06,P_2021_07
ANGAMACUTIRO,Michoacan,20.12527778,-101.7225,1730,0,0
ATLACOMULCO,Mexico,19.79928333,-99.87735,2570,97.58,145.38
CALVILLO,Aguascalientes,21.84944444,-102.7122222,1618,82.27,249.37
CD_GUZMAN,Jalisco,19.73055556,-103.4647222,1520,137,156
CERROCATEDRAL,Mexico,19.54194444,-99.51916667,3754,179.07,327.41
CHAPALA,Jalisco,20.29027778,-103.2016667,1493,0,0.76
GUADALAJARA,Jalisco,20.70638,-103.39222,1558,154.6,463.4
IXTLANDELRIONAY,Nayarit,21.03888889,-104.2980556,1163,187.5,356.25
JOCOTEPEC,Jalisco,20.28305556,-103.4163889,1506,0,0
LAFLORIDASMN,Zacatecas,22.68611111,-103.6025,1870,30.8,0
MARIPOSAMONARCAI,Michoacan,19.67088889,-100.27775,3255.171,149.6,238
MARIPOSAMONARCAII,Michoacan,19.53908333,-100.2900556,2970.254,0.8,0
NEVADODECOLIMA,Jalisco,19.59216667,-103.59075,3461.139,671.8,209
NEVADODETOLUCA,Mexico,19.11667,-99.76666667,4139,388.65,237.99
PRESAALLENDE,Guanajuato,20.84833333,-100.8247222,1915,14.5,4.75
SIERRAFRIA,Aguascalientes,22.26977778,-102.6087778,2976.307,161,231.8
SIERRAGORDAII,Guanajuato,21.32091667,-99.83144444,2216.07,123.6,119.4
TEPIC,Nayarit,21.51861,-104.88388,927,203.8,136.6
TIZAPAN,Jalisco,20.16944444,-103.0438889,1503,121.92,166.37
TOLUCA,Mexico,19.29111,-99.71416,2730,133.0,68.6
ZAMORA,Michoacan,20.00972,-102.28194,1565,187.8,202
